indicator_code,domain,global_weight,domain_weight
S1,strategy,0.1082,0.2407
S2,strategy,0.1746,0.3883
S3,strategy,0.0637,0.1417
S4,strategy,0.0383,0.0852
S5,strategy,0.0648,0.1441
O1,operational,0.0347,0.1903
O2,operational,0.0552,0.3028
O3,operational,0.0172,0.0943
O4,operational,0.0352,0.1931
O5,operational,0.0127,0.0697
O6,operational,0.0158,0.0867
O7,operational,0.0115,0.0631
P1,people,0.0635,0.3677
P2,people,0.0177,0.1025
P3,people,0.0327,0.1893
P4,people,0.0588,0.3405
T1,technology,0.0768,0.3928
T2,technology,0.028,0.1432
T3,technology,0.0196,0.1003
T4,technology,0.016,0.0818
T5,technology,0.0186,0.0951
T6,technology,0.0365,0.1867
